TransactionID,CustomerID,TransactionDate,TransactionAmount,MerchantName,MerchantCategory,TransactionType,TransactionStatus
878aecf4-fdb4-4199-9622-92b46146465d,dea25507-bd48-4634-ab75-c9c881fea414,2024-04-27 04:33:19,705.03,Brown Ltd,enable holistic architectures,Purchase,Approved
3654684e-732a-4c39-b441-deee1cae1790,b80ac1d0-786d-42ef-9aef-f87629fe3199,2024-04-12 02:46:47,345.9,Rodriguez-Anderson,maximize revolutionary infrastructures,Purchase,Declined
55c61b4d-432d-4e68-ba59-0f7794045b0c,e9206442-a296-4b32-8100-8db84593d91e,2024-01-12 10:13:18,699.24,Thomas LLC,expedite integrated content,Refund,Approved
da26f4b7-4856-4831-b670-caabaaecbf38,8dede5a6-c8c2-4e0d-bc4b-e9f92231a92e,2024-02-24 11:57:55,885.24,Burns Ltd,enhance vertical bandwidth,Purchase,Declined
53955378-ab6b-4b51-98d9-1496c48ef09b,d374cc69-3e91-4b20-9af0-3de50eabe747,2024-06-29 13:46:34,279.87,"Walker, Thomas and Owens",incubate clicks-and-mortar channels,Refund,Declined
bb0cf47e-5e85-435b-b29b-54e98e5fcba1,d006b3e7-9207-48fc-b066-1004c1398c69,2024-02-11 01:33:59,131.46,Roberts Inc,engage transparent experiences,Refund,Approved
e0d39199-975d-40eb-8c0f-40655c4fae25,43d05a7c-dd67-4d86-84a7-4e3a32c65cca,2024-02-25 23:27:28,721.45,"Thomas, Sullivan and Johnson",deploy B2B web services,Refund,Declined
8d74c5f6-ce35-450c-b8b7-97f3b418a409,01d6e9a3-7d99-4224-aa23-d524a8371fc0,2024-05-18 19:34:24,442.75,"Moore, Black and Reilly",leverage dynamic partnerships,Refund,Approved
03f8d514-7960-4777-b862-f071d0cca30b,be20af5d-f6c5-4522-9820-1ed0231fa380,2024-05-20 01:04:43,499.54,"Noble, Payne and Rodriguez",leverage end-to-end platforms,Refund,Approved
280a8bb1-b5f3-4951-909f-92927e423547,a193c7a5-e070-4dd0-b13d-0610165ceb45,2024-04-16 17:42:25,749.55,Beasley Group,architect user-centric solutions,Purchase,Approved
8a042e12-0b90-42f4-88db-43d331b9e80f,d8e5e577-d9ec-4583-a3ed-421fcc6a9d69,2024-06-15 18:06:39,74.16,Freeman Group,e-enable dot-com convergence,Purchase,Approved
086ff5e9-3060-4daa-b924-810e3bda0879,75c20300-9406-45dd-82bb-788160003a05,2024-05-19 17:14:05,579.09,Martinez-Mcpherson,expedite best-of-breed platforms,Purchase,Approved
8fe22206-992e-45e3-b39d-2eb8f5a4e859,9386398c-9882-46f2-841b-7440441ac71d,2024-05-19 18:30:36,848.39,"Lloyd, Dunlap and Nguyen",streamline scalable interfaces,Refund,Approved
f4a243c0-102d-4a3d-b4f8-0ede67c5afd8,0deb463c-fe69-444c-8931-d5137e0d0c6b,2024-05-19 09:43:52,235.05,"Stephens, Allen and Moss",incentivize customized e-markets,Refund,Declined
e395936c-5d68-4c07-b5f3-9eef907910bd,37a6b0bc-d5ad-4bc1-80f1-eaffff8465c1,2024-05-09 02:22:52,505.36,Perkins-Frazier,deploy leading-edge web-readiness,Purchase,Approved
a7468ea1-ed23-4501-ab7d-062b67ce7ae1,a2236926-6891-4d58-9618-713321409b79,2024-04-18 14:40:52,550.15,Randolph Inc,deliver scalable functionalities,Refund,Approved
ea35c038-4653-45e4-81e4-97b81f7da42d,53006a28-9377-4012-95ac-c3ed80ab5c06,2024-05-05 01:12:07,834.52,Thompson-Manning,morph robust mindshare,Refund,Approved
babf2fa8-2831-4ac9-bfa8-98fdb2b08220,908e6682-086e-470b-83cc-4bfa8b6a936b,2024-04-23 03:21:54,456.22,Bennett-Whitaker,aggregate viral action-items,Purchase,Declined
ac91fee1-09a8-4dc8-b193-857ccd611304,e9206442-a296-4b32-8100-8db84593d91e,2024-05-30 16:27:26,206.58,Hansen PLC,strategize robust applications,Refund,Approved
3df1c0a1-4033-4080-8726-78e821b85cae,027b2e99-5c3f-4b76-a32e-a538f4520092,2024-01-30 20:08:16,991.86,"Massey, Maxwell and Fox",aggregate seamless functionalities,Refund,Approved
256a24bc-deae-4199-86ab-8db3493bfe22,7bb618d7-5fe3-4e98-8dd6-293347717b3e,2024-04-04 01:18:29,955.03,Hughes Inc,revolutionize revolutionary communities,Purchase,Approved
6b79644c-eec8-4c57-901e-27b9f76e357a,aeb0aede-a208-4766-ac4a-923263dbed75,2024-06-25 01:49:49,454.81,"Wagner, Gonzalez and Taylor",unleash dot-com niches,Refund,Declined
2c16a9a6-524b-4821-bc93-e3dda42b32b9,c6dc504b-5500-4df0-a836-336a7c001005,2024-06-24 18:43:39,961.25,Gonzalez-Munoz,integrate customized relationships,Refund,Declined
8571b64d-9351-414f-8058-7ca0a3c5042e,5fb8c029-5207-475c-b685-129060b2c0b0,2024-04-19 21:58:25,412.7,Freeman LLC,productize web-enabled web services,Refund,Declined
83dd345f-bf3c-4ceb-9dc4-ac7ef4e6295b,da3a7e93-d921-4828-9a7b-1e2789ec166f,2024-03-16 12:13:28,756.46,Johnson LLC,utilize mission-critical experiences,Refund,Declined
b97ccc9a-09e2-464e-98ce-6c57e4b93802,b345f524-18a5-4936-8ccb-fbda1aa852a1,2024-05-26 04:49:27,766.38,"Kramer, Nelson and Aguirre",enhance end-to-end infrastructures,Refund,Declined
77938a48-ccde-4ec2-9dd9-e569e5d065de,f0c752c7-8f44-4f1e-9eca-39653da7a83f,2024-03-04 19:24:54,685.84,"Garcia, Stanley and Morales",orchestrate end-to-end e-tailers,Refund,Approved
35d7433e-17db-4391-9df9-55254fd65ab7,6ef160e6-0a2c-4ed1-b00f-7244f61d4e94,2024-04-06 22:01:01,907.61,"Love, Johnston and Mendoza",deploy virtual mindshare,Purchase,Approved
f69bf4e4-f1e0-41a5-b6ac-6ecf3814746d,256a045a-dc60-404e-879e-2b8fe968e47d,2024-05-27 06:33:44,686.91,"Hardy, Zimmerman and Green",empower cross-platform metrics,Purchase,Approved
75e587c1-8a76-4dab-9e1e-db25634d1f75,8b314800-1909-4cfa-88cb-90e25a01eabc,2024-01-22 01:45:47,278.83,Marquez LLC,deliver impactful platforms,Refund,Declined
6de05876-9edb-494c-9b44-947ff0114f4d,a7167839-bbb5-44f5-95d2-557591f608e6,2024-05-16 12:38:56,459.07,"Bradley, Peterson and Winters",architect mission-critical paradigms,Purchase,Declined
99077600-8954-452a-9f77-2294c084c6a4,6391987e-a2af-4b79-95c7-dc3d90a4ce32,2024-03-19 05:05:03,16.32,Hart-Jones,reinvent plug-and-play action-items,Refund,Approved
f6ea7cfe-da58-4be5-83e9-62372de70429,9fe55224-8048-4773-b16c-eed80c974345,2024-02-12 06:54:29,671.55,Zamora-Soto,maximize value-added mindshare,Refund,Declined
c2511196-68fe-4af8-99ba-4a9c08c30183,2343ba5f-54be-4a6c-8b13-14355f1212c8,2024-02-04 10:48:42,189.5,"Logan, Young and Stewart",deliver virtual supply-chains,Purchase,Declined
55735838-b936-4d26-b2b8-97abb41b1e72,9ee4aa42-ae2e-4e36-abce-595624e35dd4,2024-06-22 16:34:47,304.59,Manning-Camacho,productize strategic channels,Refund,Approved
ad58d013-60c6-4335-b21b-3d9abff975e0,806589bb-3f2a-4bb8-aa56-bfe320a329d5,2024-03-06 14:11:29,679.1,Good-Cook,streamline interactive models,Refund,Approved
c1b416b1-7595-41a1-930c-049e1d5a4431,f0cd84b0-6e8d-49b0-82c9-5247a3911d1c,2024-03-22 06:56:25,844.59,"Warner, Hicks and Lowe",generate innovative technologies,Purchase,Declined
62dbb1af-9f59-42a8-a932-96539c392362,d000ea5f-40a4-41e8-930f-f62b2b6d74cf,2024-05-17 20:38:32,293.31,Johnson and Sons,evolve interactive methodologies,Purchase,Declined
695d7e7d-7ed8-4b35-9cf1-40f8dad8609b,a6fdabc0-9df2-4781-95db-797600f12c9b,2024-07-04 22:37:10,843.17,Barker and Sons,incentivize B2B info-mediaries,Purchase,Approved
e2bf57ea-a5ff-440a-be35-ed05a5520156,6d90e6ae-8538-44fb-83ac-21f5b894c705,2024-06-27 16:57:33,708.95,Turner PLC,embrace revolutionary relationships,Refund,Approved
496f4b7b-8cac-497e-9d16-8280575f0ca6,0a4d1537-3b58-4186-9eeb-bdd030496c41,2024-03-24 11:04:42,302.72,"Henderson, Torres and Zimmerman",transition turn-key technologies,Refund,Declined
f50b9314-180d-439a-a97d-cfba195a478e,de2b518b-3b32-4a16-9a62-76bdcc904062,2024-02-04 11:01:12,747.1,Powers Inc,streamline customized vortals,Refund,Approved
efc6b3d6-fd8e-4fd9-bd47-fa376990b422,cc67415a-31fa-4e8b-b33b-e6a2b5711918,2024-06-06 17:18:29,137.27,Schmidt-Edwards,grow sticky ROI,Refund,Declined
d45238c4-4340-40fc-a43b-638598be2802,c627c6c8-a7f8-434f-88fe-8ea8f16e6d20,2024-02-08 09:55:42,68.5,"Petersen, Ford and Maynard",harness viral web services,Refund,Declined
c39d2bbb-d265-4ec2-9465-8f2c892eb1fe,2e65e530-2efc-4377-822f-b486025174c6,2024-05-03 20:02:45,123.08,"Cantrell, Tapia and Cunningham",engage vertical users,Purchase,Approved
e5698911-e915-42ad-81fc-6092ad04201f,91e377c5-ff61-437b-bba7-d7d908a251f9,2024-04-30 18:56:33,974.09,"Novak, Newman and Bennett",deploy cross-media ROI,Purchase,Approved
88e9e68a-92e7-4c00-9f57-1a051013936d,2ac329a4-565c-46e8-8d17-c05c5f740eb2,2024-03-26 15:32:44,124.3,Moreno LLC,monetize dynamic convergence,Refund,Declined
5fc71be3-fe5d-44a9-a48b-2ba5967da455,8990c3a3-dd00-4fdb-b820-3a5efc98b93f,2024-04-19 05:55:39,37.88,"Allison, Johnson and Ashley",seize interactive relationships,Purchase,Declined
a6d0afb9-5a0e-40d0-9517-bdb8fc26e579,02bc2e1d-6f53-4a6f-af15-e1691f5cdf38,2024-06-13 00:07:47,21.54,"Jones, Campbell and Morrison",implement seamless convergence,Refund,Declined
c3a8742f-9072-44ad-bfc1-e303b2407eaf,46fe869d-d71f-4302-b907-5b571b20432c,2024-06-29 01:01:07,868.09,Marks-Rivers,maximize ubiquitous models,Purchase,Declined
62c11a7e-7e35-4ea1-ac52-84649987c3e2,d75ac376-e6d2-4903-a102-3dae6edb3267,2024-02-02 02:47:37,154.9,Diaz Group,re-contextualize e-business action-items,Refund,Approved
8f11cfa9-2856-4e4c-a8c4-fc0dbd610b71,217cc3c3-d97c-4ed1-b093-20f333945507,2024-03-15 21:38:51,254.49,Kent Ltd,seize intuitive platforms,Purchase,Approved
e21bfb0c-6cd2-49bf-9f51-a5df8edf8c6c,ed061892-e9a8-4ccc-9e38-78db509bb7a2,2024-03-10 12:55:14,270.39,Robbins-Martinez,maximize synergistic niches,Refund,Declined
1ecc24cd-9dd9-4b8d-9f35-604ca5a1201e,89010437-c6b7-4c35-a44d-a6abd4592164,2024-04-24 04:42:14,90.87,"Bradford, Wang and Hernandez",strategize open-source paradigms,Purchase,Declined
1d527c4e-6819-4a2a-b3bc-4e7e63247a37,0f9f23cc-f7db-4467-bea3-a9a419e5f79c,2024-03-09 02:32:32,751.88,"Berger, Dougherty and Vaughan",synergize global interfaces,Refund,Declined
50536633-9962-4f83-a964-fbb6c573c1a6,b4a1ef80-29be-4320-9dc5-c1a6383226db,2024-04-08 18:10:54,163.26,Parker-Conner,drive dot-com communities,Refund,Declined
3b49c5f7-4eb3-443f-b571-db4aa524bb7e,d2c37892-4457-4a61-a7c9-71a4ff18bda3,2024-04-08 09:57:50,620.04,"Brock, Yates and Hopkins",matrix bleeding-edge architectures,Purchase,Declined
672bb9c5-abab-4354-9e48-d3757c2746c3,027b2e99-5c3f-4b76-a32e-a538f4520092,2024-02-17 16:18:09,37.85,Scott PLC,revolutionize B2C eyeballs,Refund,Approved
46980b06-46e3-4b85-9db2-61b502fc8d5a,b417dedb-f4e4-4f72-973a-1ee5b2365195,2024-04-17 22:02:59,25.11,Greer and Sons,matrix scalable channels,Refund,Approved
bad54011-a717-49bb-9666-65161d2130ba,0e4ab04f-2308-4ca8-bc8d-88ef0e423150,2024-05-05 16:58:24,540.52,Wilson LLC,re-intermediate virtual mindshare,Purchase,Approved
e33aaad5-221b-4ffd-9547-9f47e3b98bf6,24207e87-ae56-4467-acd3-85a6ff7afd53,2024-02-02 22:41:28,876.71,Pineda-Hamilton,e-enable enterprise bandwidth,Purchase,Declined
2cdb4d1c-433d-4b99-888c-0f114dae088b,b232be47-e4e4-42ab-91ef-a00ba8050030,2024-04-15 05:21:32,249.05,Lozano PLC,e-enable best-of-breed users,Refund,Declined
c57ce455-4eba-4b38-9baf-1f732839ef26,2606b645-9996-4791-a9b0-e264a0525b82,2024-04-29 03:03:17,308.22,Smith Ltd,scale distributed eyeballs,Refund,Declined
292e44c7-e9de-4cce-a427-df07ce581753,6724a52d-0ec2-42d0-8ed3-b7577ec688f2,2024-04-24 00:06:50,966.64,Sandoval-Brewer,utilize next-generation systems,Refund,Declined
6cb802bf-f849-48f5-8d42-bcdfb544a744,c36c4b05-330c-419e-b08e-af6eb7db45b3,2024-06-22 17:26:19,205.38,Young-Hernandez,facilitate cross-media niches,Purchase,Declined
de6e3752-791b-46a3-b7e7-85bfb01ba0f5,f19dffbd-b1a6-4220-93cd-20c48ef19dc3,2024-04-06 13:47:46,485.06,Nguyen Inc,iterate vertical applications,Purchase,Approved
932ce024-1b23-42be-b7b6-a026fa9493ae,ce5b0231-9bb3-4ccc-ab71-a44a8b7d906c,2024-01-31 01:14:08,929.63,Wilcox-Jones,enhance turn-key e-commerce,Refund,Approved
1c8923dd-8675-446b-97d7-e896bb6be45e,14812b58-86cc-4b97-8c6e-27a38b77afa4,2024-02-17 04:35:45,916.64,Adkins LLC,e-enable front-end functionalities,Refund,Declined
fbe580d0-6405-4e6a-8f32-68ceb39bcaef,5e9f34d7-7914-4b41-ad27-3c3635ed4369,2024-03-23 11:58:56,851.06,Shelton-Mejia,implement robust methodologies,Refund,Approved
25bd75f4-4864-455c-9cc1-41e8e6560bb9,098aa03d-eb72-42fa-83a1-2ddf1247451f,2024-02-22 18:21:46,421.86,Miles Group,iterate 24/365 ROI,Refund,Approved
82db176f-5b8a-46d8-95f6-26537c359343,d34019e8-a8a9-431c-876d-3d5ed56d8522,2024-04-18 19:20:51,222.52,"Miller, Owens and Mendez",leverage 24/365 action-items,Purchase,Declined
7eefdacc-e33a-4714-9023-255238a68f84,3417348a-257c-45de-9545-9375e52857a9,2024-01-29 04:50:42,703.71,"Allen, Lawrence and Harmon",enhance granular niches,Refund,Declined
d6e511af-38f6-46f2-899f-9d3a17f2859a,a46322cf-8d2f-47a0-b510-eebd5a50cc55,2024-01-16 01:35:38,899.63,"Hayes, Butler and Gates",incentivize strategic metrics,Refund,Declined
acadf7b8-1d0f-4d27-9afd-f79c094779ca,7649d93a-7ee1-444c-a803-4b6349a0925c,2024-05-11 18:39:32,819.01,"Nicholson, Perez and Gomez",scale extensible metrics,Refund,Declined
4af7ccde-e43d-46de-b0ba-f3188bdc4cd2,d69a94ea-783d-4967-83a4-16bf3ec27115,2024-03-21 10:00:56,72.26,"Sharp, Guzman and Petersen",engineer integrated communities,Refund,Declined
6772476f-33cd-4e9c-898b-0c2da014a4a2,0835f055-7425-442a-8a83-dbe5f39068af,2024-02-17 17:14:26,302.32,Tran Group,cultivate compelling web-readiness,Purchase,Approved
b5cb0a7d-0e68-486b-9f13-c3075d632fe2,7517329d-c912-421b-a7b1-13c6557c57a3,2024-04-23 20:57:09,786.21,"Thomas, Cunningham and Lawrence",optimize collaborative content,Refund,Approved
ad1c9ad4-b0f8-43b2-8db3-15c661915a35,f46cbfda-0939-456f-9790-567be3480132,2024-05-03 09:44:37,228.62,Jones-Dyer,revolutionize clicks-and-mortar e-markets,Purchase,Approved
66916992-4661-4e81-8d11-81af9a2aefa5,334f9977-77ef-4aa0-a7ae-8fa342ee1397,2024-04-29 17:56:07,241.21,"Miller, Mcdonald and Lopez",iterate next-generation methodologies,Refund,Declined
3aa1f7b3-e04d-4e3e-87c2-5c2529084fda,dd2bdb56-26d4-477d-be2a-861ec5048c6b,2024-03-18 22:54:51,670.15,Miller and Sons,optimize frictionless applications,Refund,Approved
9eca44e5-88cd-4a67-95c8-885b7498dcd8,c56abbc5-1a36-4be0-a9a8-0efd9b7bd4b7,2024-04-09 21:54:39,520.74,Russo PLC,benchmark mission-critical e-commerce,Refund,Declined
60a74356-a0e4-4a27-aaca-badb1dd41b85,df620fec-b896-487a-a8e0-547c6c916ba5,2024-01-03 14:11:47,340.86,Hall-Nelson,iterate user-centric communities,Refund,Declined
04ed18b3-e233-4bb8-8f4a-001c7e5fd7c8,7ec1f575-2f30-4fcb-b171-7d98a247858c,2024-01-27 21:00:42,781.11,Greer and Sons,envisioneer plug-and-play channels,Purchase,Approved
edd35936-2825-4421-b1e7-77ad428a3866,d88b26c7-a4ea-44f4-b1aa-5945e443b94e,2024-01-28 09:45:25,31.43,"Phillips, Young and Pena",leverage proactive e-commerce,Refund,Declined
793976b6-c51d-4658-8608-f9f3cd6f52dc,2e250ab5-a78e-4db4-9ec4-d1b566e81752,2024-01-19 10:05:05,399.25,Serrano-Bailey,revolutionize scalable initiatives,Purchase,Approved
7c1c5660-c404-423f-8242-39e4c67af9fc,d5e2d5cd-b720-4b45-bd32-210e8ef80ae8,2024-01-30 05:04:13,566.19,Mayo-Bullock,cultivate robust networks,Refund,Approved
62af707b-a333-4f12-b294-1ca61958c181,85d68a73-17fe-4656-98e4-f74772a18e8e,2024-02-05 10:17:37,98.42,Jordan Group,iterate virtual functionalities,Purchase,Approved
cccab0a8-fad2-4a98-9e16-7e869bebf1d2,d35db898-66a4-4b29-85e7-8ad4b41dd52c,2024-07-08 01:03:37,720.03,Larson-Brock,enable next-generation users,Purchase,Declined
da8420c8-c24e-4dae-8343-3fe77653e9ca,05246926-c3c9-4059-9180-76bce701b35b,2024-01-17 16:58:50,541.32,Thornton Inc,deploy front-end portals,Refund,Declined
c68aab8f-660d-455f-8716-667cd456fda5,aec7d5a9-f930-4a9d-8b41-ef1910f61cea,2024-05-11 19:49:18,308.74,Cruz-Lewis,incentivize ubiquitous e-business,Refund,Declined
8dde283e-fcd5-41c6-9d9f-cb5348509676,0c8cbfd7-bdda-4a90-8ada-7420abb1e1ae,2024-05-20 00:00:00,427.6,Wagner LLC,iterate B2C eyeballs,Refund,Declined
200cc3f6-0af5-4489-a7c4-b46333f98b66,43c421f7-ea8b-4851-8bcd-368ec445051d,2024-02-04 02:05:52,98.42,"Coleman, Ford and White",seize best-of-breed metrics,Refund,Declined
8a8adf71-b02b-4066-9d21-8139b72737d6,081a90c1-345c-4958-9a4a-4de539158bc1,2024-06-01 22:05:32,92.49,Lee-Allen,aggregate customized mindshare,Purchase,Declined
dc317ab4-e011-4bdc-b82a-402449b6155a,a46322cf-8d2f-47a0-b510-eebd5a50cc55,2024-03-16 18:25:11,257.12,Becker and Sons,reinvent best-of-breed partnerships,Refund,Declined
8926c02f-d498-4995-b01b-a30bfeb6eb98,d58e55f0-8dd1-4bc3-9d3f-b536122a7fc2,2024-04-23 20:59:25,395.8,"Kelly, Jennings and Randolph",optimize dynamic infrastructures,Refund,Approved
0431ec0f-71a4-4971-bb4e-1bbaffdf7ba2,fa09b80b-2b8d-43d0-aa7b-a35ee0bf6168,2024-04-25 08:01:52,322.27,Ramirez-Carroll,empower distributed eyeballs,Refund,Approved
abd9b738-9abb-4905-97c4-8d5b85d523bf,59aee371-39e0-43c7-a4bc-e6f2330f7bf3,2024-05-08 22:33:10,694.67,Booth-Ramirez,innovate efficient users,Refund,Declined
1e2eb9ef-fe11-4fc1-902b-13875e06cfd8,0c8cbfd7-bdda-4a90-8ada-7420abb1e1ae,2024-03-06 19:40:52,754.03,Anderson LLC,redefine ubiquitous mindshare,Refund,Declined
ec98442c-9155-44e8-81be-e08c726c98ad,87d989d3-4024-4e01-b526-99810e06ce36,2024-01-16 07:38:47,635.89,Williams-Mendez,scale granular applications,Purchase,Approved
7c30b4b4-95ec-4713-8cf2-18861e3c64cf,b3d13ceb-c715-46b0-abb7-60c975714099,2024-03-16 11:01:52,121.11,Contreras-Gates,embrace out-of-the-box technologies,Purchase,Declined
